text,emotion,sentiment,prediction,confidence,error_type
哇!你報警了嗎？希望能找回來！,憤怒語調,0,1,0.6601570248603821,FP
他做了什麼事?,關切語調,1,0,0.6954648494720459,FN
有功課不會做嗎?還是有人欺負你,關切語調,1,0,0.9018478393554688,FN
要是你一直憋著不說就會崩潰,關切語調,1,0,0.8027867078781128,FN
我知道這種感覺,關切語調,1,0,0.7747295498847961,FN
也許你可以別一直逼他,關切語調,1,0,0.9893518090248108,FN
謝謝老師關心，我現在沒事了！,悲傷語調,0,1,0.9767259359359741,FP
聽起來不錯啊，一起去放鬆一下！,平淡語氣,0,1,0.7757633328437805,FP
最好快點處理霉斑，或者看看能不能除濕。,關切語調,1,0,0.9767221212387085,FN
真的嗎？夢到貓代表好運降臨誒？,疑問語調,0,1,0.9895686507225037,FP
哇，你要怎麼花這筆錢？買一棟別墅嗎？,開心語調,1,0,0.9260659217834473,FN
我會問他們的星球上是不是也有各種動物。,驚奇語調,1,0,0.9689035415649414,FN
AI也會讓你生氣？那它說了什麼？,關切語調,1,0,0.6437231302261353,FN
真的假的？他有告訴你未來的事情嗎？,疑問語調,0,1,0.992326021194458,FP
你有試過數據恢復嗎？也許還有救。,關切語調,1,0,0.9887505173683167,FN
真是太摔了！你有試試看能不能改期嗎？也許還有補救的機會。,憤怒語調,0,1,0.7283410429954529,FP
真的嗎？他們平常看起來完全沒交集啊，怎麼突然在一起了？,疑問語調,0,1,0.556046187877655,FP
當然有啊，士林夜市的炸雞排一定要試試看，超好吃！,平淡語氣,0,1,0.9933297038078308,FP
你可以去捷運出口那邊的小吃街，蠻多好吃的東西！,疑問語調,0,1,0.8440221548080444,FP
最近跟男朋友還好嗎？你看起來有點不開心。,平淡語氣,0,1,0.9694404602050781,FP
那可能是因為你昨天做了很多事情吧？,平淡語氣,0,1,0.9018466472625732,FP
能告訴我發生了什麼事情嗎？,關切語調,1,0,0.9297441244125366,FN
哦？是什麼遊戲？好玩嗎？,平淡語氣,0,1,0.9873407483100891,FP
我聽見了，你被欺負了。我相信你一定很不好受，但請不要害怕，你要告訴自己：「我是一個勇敢的人」，然後盡快把事情經過告訴大人或老師，他們會幫你解決問題的。,悲傷語調,0,1,0.9894381761550903,FP
無論發生什麼，我都會陪著你。,悲傷語調,0,1,0.6135270595550537,FP
天啊！這是真的嗎？這不可能！,疑問語調,0,1,0.9966331124305725,FP
這...這是真的嗎？我們成功了？,疑問語調,0,1,0.8937758207321167,FP
這樣的情況，我們總是會遇到，沒什麼好擔心的。,平淡語氣,0,1,0.5399312376976013,FP
沒什麼好緊張的，這只是小事，應該不會有大問題。,平淡語氣,0,1,0.9930445551872253,FP
這幾天天氣轉涼了，記得多穿件外套。,關切語調,1,0,0.9697765707969666,FN
最近晚上都很冷，記得蓋好被子才睡覺。,關切語調,1,0,0.9856797456741333,FN
